epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,37.636,1.03807,5.88014,0.73297,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.000359924,0.000359924,0.000359924
41,52.6766,2.50037,4.08988,1.98247,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.00033696,0.00033696,0.00033696
42,53.1179,2.10771,3.04301,2.14874,0.77669,0.88889,0.88576,0.42671,1.7399,2.47844,1.28939,0.000312412,0.000312412,0.000312412
43,53.6089,2.31227,5.29338,1.67283,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.00028628,0.00028628,0.00028628
44,54.0074,2.26452,3.49881,1.69659,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.000258564,0.000258564,0.000258564
45,54.4033,2.01409,2.77006,1.54183,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.000229264,0.000229264,0.000229264
46,54.8312,2.23795,3.15386,1.49902,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.00019838,0.00019838,0.00019838
47,55.243,1.39742,2.46528,1.44933,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.000165912,0.000165912,0.000165912
48,55.6491,2.05146,2.40704,1.66462,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,0.00013186,0.00013186,0.00013186
49,56.2126,2.13993,4.49651,1.62705,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,9.6224e-05,9.6224e-05,9.6224e-05
50,56.6443,1.78133,3.20327,1.69914,0.8516,0.88889,0.91226,0.46166,1.65493,2.20353,1.24591,5.9004e-05,5.9004e-05,5.9004e-05
