epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1863.15,0.94893,0.63316,1.07662,0.85869,0.83228,0.86483,0.57004,1.23595,0.75719,1.3187,0.000140652,0.000140652,0.000140652
76,1888.85,0.95744,0.6268,1.08286,0.89452,0.7809,0.8537,0.55841,1.26982,0.74965,1.33944,0.000135445,0.000135445,0.000135445
77,1914.69,0.95347,0.62138,1.07464,0.87349,0.79247,0.85446,0.57296,1.26136,0.75458,1.33293,0.000130238,0.000130238,0.000130238
78,1940.23,0.94026,0.61132,1.07268,0.85393,0.79755,0.85971,0.5704,1.24371,0.79755,1.32299,0.00012503,0.00012503,0.00012503
79,1965.49,0.93944,0.60598,1.06843,0.86421,0.78337,0.84712,0.57412,1.25589,0.80651,1.32378,0.000119823,0.000119823,0.000119823
80,1990.76,0.92699,0.60353,1.06476,0.87182,0.80247,0.85533,0.57973,1.23316,0.76933,1.30331,0.000114615,0.000114615,0.000114615
81,2016.26,0.92375,0.60056,1.06754,0.87841,0.77482,0.85029,0.57033,1.23499,0.7749,1.30795,0.000109408,0.000109408,0.000109408
82,2041.74,0.93031,0.60098,1.06704,0.86728,0.80032,0.86344,0.582,1.2236,0.74954,1.30817,0.000104201,0.000104201,0.000104201
83,2067.49,0.92742,0.5907,1.06998,0.87182,0.81347,0.86473,0.57232,1.23005,0.77134,1.32055,9.89932e-05,9.89932e-05,9.89932e-05
84,2092.9,0.90468,0.58944,1.06302,0.865,0.80854,0.86486,0.5901,1.22968,0.76982,1.316,9.37858e-05,9.37858e-05,9.37858e-05
85,2118.48,0.90391,0.58988,1.05439,0.86737,0.80082,0.86075,0.57322,1.24388,0.76684,1.33278,8.85784e-05,8.85784e-05,8.85784e-05
86,2143.93,0.90478,0.5911,1.06168,0.90929,0.78615,0.86904,0.57888,1.24353,0.76461,1.32198,8.3371e-05,8.3371e-05,8.3371e-05
87,2169.53,0.90946,0.58901,1.05717,0.905,0.80255,0.87414,0.5868,1.22496,0.76266,1.31166,7.81636e-05,7.81636e-05,7.81636e-05
88,2194.39,0.89601,0.58175,1.04995,0.8943,0.78805,0.86978,0.58693,1.22601,0.74355,1.31768,7.29562e-05,7.29562e-05,7.29562e-05
89,2218.56,0.88911,0.57834,1.05094,0.91175,0.79747,0.86867,0.58428,1.22506,0.74659,1.31276,6.77488e-05,6.77488e-05,6.77488e-05
90,2242.69,0.88837,0.57604,1.04708,0.90038,0.80547,0.86563,0.58705,1.23147,0.73737,1.31576,6.25414e-05,6.25414e-05,6.25414e-05
91,2267.33,0.84475,0.48363,1.02111,0.85405,0.80794,0.8595,0.58267,1.2373,0.73424,1.32442,5.7334e-05,5.7334e-05,5.7334e-05
92,2292.76,0.8399,0.47244,1.01706,0.86658,0.80522,0.85206,0.58587,1.21992,0.75968,1.303,5.21266e-05,5.21266e-05,5.21266e-05
93,2318.3,0.82142,0.46096,1.00745,0.88774,0.79371,0.85857,0.58756,1.21659,0.73712,1.30548,4.69192e-05,4.69192e-05,4.69192e-05
94,2343.55,0.82033,0.45294,1.00209,0.90098,0.79412,0.86359,0.58735,1.21346,0.7233,1.31154,4.17118e-05,4.17118e-05,4.17118e-05
95,2368.98,0.80738,0.44862,0.9945,0.85471,0.81558,0.85976,0.58212,1.20653,0.72383,1.30036,3.65044e-05,3.65044e-05,3.65044e-05
96,2394.41,0.80655,0.44724,0.9967,0.87792,0.80269,0.85909,0.58974,1.20387,0.7284,1.30087,3.1297e-05,3.1297e-05,3.1297e-05
97,2419.59,0.80012,0.43925,0.99281,0.87239,0.81419,0.86222,0.5809,1.21338,0.73251,1.31368,2.60896e-05,2.60896e-05,2.60896e-05
98,2444.96,0.79567,0.4399,0.99224,0.87963,0.80758,0.86028,0.58427,1.21645,0.74071,1.31522,2.08822e-05,2.08822e-05,2.08822e-05
99,2470.45,0.79256,0.44185,0.99486,0.86272,0.82467,0.86195,0.58805,1.21388,0.7285,1.31523,1.56748e-05,1.56748e-05,1.56748e-05
100,2495.9,0.79183,0.4367,0.98915,0.87121,0.8287,0.86459,0.58925,1.21018,0.73217,1.30773,1.04674e-05,1.04674e-05,1.04674e-05
